customer_id,first_name,last_name,email,phone,country,city,acquisition_channel,registration_date
1,Joanna,Burns,smason@example.com,842.317.6228x459,Russian Federation,Lake Laura,Paid Search,2023-11-28
2,James,Holloway,sarahlopez@example.com,6183810482,Kyrgyz Republic,Michaelshire,Direct,2024-07-07
3,Douglas,Hardy,jkline@example.net,344.337.9758x8881,Switzerland,Carlosberg,Paid Search,2025-05-25
4,Erica,Roberts,danielrobbins@example.org,(367)639-3311x28431,Denmark,East Jessicabury,Referral,2023-03-14
5,Matthew,Greer,janthony@example.org,753.974.8943x099,Saint Martin,Alvaradoberg,Referral,2023-06-11
6,Barbara,Wood,deanna81@example.com,6512172371,Benin,Westmouth,Organic Search,2023-11-29
7,Melissa,Marshall,caitlinmathis@example.net,001-657-710-3932x266,Ethiopia,North Scottstad,Paid Search,2023-05-04
8,Angela,Levy,crystalmartin@example.com,+1-776-204-3311,Aruba,East Jerry,Paid Search,2022-03-18
9,Erika,Hopkins,oford@example.com,376.341.7345x967,Barbados,Elizabethton,Affiliate,2022-07-26
10,Anthony,Brown,dodsonluis@example.net,001-663-976-2505,Heard Island and McDonald Islands,West Kevintown,Email,2022-06-17
11,Elizabeth,Walker,jennifer46@example.com,4103793929,Bahamas,Codytown,Direct,2023-07-10
12,Andrew,Flores,dalton14@example.org,(734)411-0924x557,Gabon,Mayton,Referral,2023-05-20
13,Matthew,Ruiz,nicole38@example.com,706-887-4696x31098,Palestinian Territory,Lake Matthewstad,Direct,2022-12-28
14,Warren,Clark,christopher96@example.com,(288)986-6369x512,Comoros,North Ellenshire,Organic Search,2023-05-21
15,Taylor,Christian,amandahughes@example.net,+1-781-758-5076x9884,Anguilla,Laurafurt,Referral,2025-08-16
16,Patrick,Harding,grahamjorge@example.org,4379149679,Niger,West Matthewport,Paid Search,2024-05-20
17,Danielle,Mcdowell,allisonmartin@example.com,(666)675-2218x2466,Lebanon,Andrefort,Affiliate,2025-05-06
18,John,Garcia,charles44@example.net,(377)281-4086,Bouvet Island (Bouvetoya),East Lindsey,Paid Search,2023-09-24
19,Stephen,Carroll,joycericardo@example.com,215-696-8642x729,Denmark,Fosterberg,Organic Search,2023-12-28
20,Melissa,Benitez,ztorres@example.net,(201)936-7915x42721,Bermuda,Weissfurt,Social Media,2025-06-14
21,Micheal,Rogers,ericphillips@example.com,+1-404-897-6049,Maldives,West Brookebury,Affiliate,2025-10-04
22,Jeffrey,Vargas,perezpatrick@example.net,293.271.8639x5993,Saint Martin,Williamtown,Direct,2023-08-19
23,Kevin,Meyer,jamesmiller@example.org,001-719-927-5299x137,Macao,Hernandezfurt,Social Media,2023-03-08
24,Chelsea,Brown,cheyennegriffin@example.com,001-683-845-5902x51855,Bhutan,North Angela,Organic Search,2025-05-24
25,William,Burch,twheeler@example.org,(525)314-7685x994,Andorra,Hoffmanburgh,Direct,2024-02-26
26,James,Bell,bradleymendoza@example.org,636.697.6376x79245,Somalia,Lorimouth,Referral,2025-08-25
27,Michael,Sandoval,ncamacho@example.net,271-977-3127x8577,Seychelles,North Matthew,Social Media,2023-02-05
28,Alejandro,Greene,tanderson@example.net,001-794-907-5500x66554,Montenegro,Sheilamouth,Referral,2022-03-04
29,Jonathan,Johnson,nguyensusan@example.org,901-525-9598x24813,Chile,Lake Larrymouth,Direct,2025-01-04
30,Amy,Gonzales,ufuller@example.org,001-953-624-9975x67565,Somalia,Port Jeffery,Affiliate,2023-11-30
31,Derek,Torres,gmoody@example.org,+1-821-450-8671x55712,Nauru,Cindyborough,Email,2022-05-04
32,Paul,Pearson,elaine94@example.net,413-247-4233x612,Gabon,Kelliberg,Direct,2023-11-30
33,Tammy,Herring,leonjeffrey@example.com,(296)290-2919x6551,Sao Tome and Principe,Jenniferbury,Direct,2023-10-11
34,Dustin,Cantrell,ytorres@example.org,001-345-942-7463x5483,Saint Helena,East Paul,Organic Search,2022-05-30
35,Teresa,Gilbert,samantha34@example.org,+1-500-988-5899x1735,Barbados,Williamsmouth,Direct,2022-07-27
36,Monica,Weeks,sonyalane@example.org,001-688-387-8529x536,French Guiana,West Michelleville,Social Media,2022-02-27
37,Jane,Figueroa,victorialeonard@example.com,877.887.3809,Eritrea,Carrieborough,Email,2023-08-17
