order_id,customer_id,order_status,shipping_address,shipping_city,shipping_country,order_date,shipped_date,delivered_date
1,305,delivered,820 James Camp,Matthewmouth,Eritrea,2025-12-20,2025-12-25,2025-12-26
2,130,delivered,026 Barrera Valley Suite 810,Lake Kylieport,Antigua and Barbuda,2025-03-02,2025-03-03,2025-03-06
3,131,returned,9481 Francis Cove,Castroville,Ireland,2025-12-30,2025-12-31,2026-01-04
4,67,delivered,80289 Pamela Burgs Apt. 152,Barnesborough,Saint Kitts and Nevis,2024-05-18,2024-05-23,2024-05-28
5,242,confirmed,830 Wood Track,North Brianville,Papua New Guinea,2025-07-10,,
6,253,returned,7314 Cabrera Valley Apt. 904,New Robert,Russian Federation,2024-06-23,2024-06-26,2024-06-29
7,309,delivered,81457 Mendoza Branch Suite 761,Valentinebury,Svalbard & Jan Mayen Islands,2024-09-13,2024-09-16,2024-09-22
8,371,cancelled,3285 Michael Motorway,Snyderfurt,American Samoa,2025-05-05,,
9,371,pending,7270 Paul Passage,New Austinchester,Seychelles,2023-04-08,,
10,152,delivered,33910 Perry Greens Suite 136,North Patriciaside,Monaco,2025-01-28,2025-01-30,2025-01-31
11,248,delivered,30440 Garcia Union Suite 844,South Lorifort,Palestinian Territory,2024-09-11,2024-09-12,2024-09-19
12,476,cancelled,0369 Paige Wells Apt. 502,Port Seanport,Pitcairn Islands,2025-12-18,,
13,1,delivered,211 Horne Inlet Suite 968,South Natashaton,Western Sahara,2024-08-27,2024-08-31,2024-09-03
14,296,shipped,81243 Kimberly Shores Apt. 707,Ortizchester,Philippines,2024-02-10,2024-02-11,
15,370,delivered,177 Brewer Stravenue Suite 432,Fullerhaven,Mozambique,2025-02-02,2025-02-04,2025-02-07
16,344,confirmed,7272 Sabrina Shoals Apt. 783,New Sheila,Dominican Republic,2024-04-30,,
17,191,cancelled,1381 Jones Dam,South Jonathan,Guernsey,2025-02-05,,
18,208,delivered,00308 Lee Forks Apt. 979,Olsonport,Somalia,2025-12-20,2025-12-23,2025-12-25
19,13,cancelled,7915 Garcia Forks Suite 654,Cunninghammouth,Lithuania,2024-06-26,,
20,286,pending,905 Gardner Centers,Robertfurt,Saudi Arabia,2024-12-18,,
21,150,delivered,4332 Herrera Square,Corychester,Cameroon,2024-08-11,2024-08-13,2024-08-15
22,454,confirmed,137 Smith Cove,Garrettport,Kenya,2025-07-24,,
23,95,delivered,683 Wright Crossing,Justinfurt,Bahamas,2023-04-22,2023-04-23,2023-04-24
24,422,confirmed,774 May Streets,South Brad,Finland,2024-09-05,,
25,412,confirmed,43225 Jones Rest,West Bryan,Ghana,2024-02-21,,
26,247,delivered,1506 Michael Key Apt. 649,East Timothyshire,Romania,2024-06-28,2024-06-30,2024-07-06
27,38,shipped,29427 Heather Parks,Mooreview,French Southern Territories,2025-08-28,2025-08-30,
28,489,confirmed,96624 Dean Dam Suite 101,Payneport,Palestinian Territory,2025-09-28,,
29,166,confirmed,04509 Watson Flats Suite 000,Lake Timothyland,Niue,2025-07-15,,
30,22,delivered,62210 Brandon Drive,North Amy,Senegal,2024-01-14,2024-01-19,2024-01-26
31,391,delivered,516 Brad Rapid,New Catherinefurt,Nicaragua,2025-07-29,2025-08-02,2025-08-04
32,28,delivered,333 Derrick Green,West Michael,Belgium,2025-09-08,2025-09-12,2025-09-16
33,154,cancelled,3913 Hamilton Isle,South Jonathon,Eritrea,2025-06-27,,
34,164,delivered,0497 Cruz River Suite 829,Garyborough,Georgia,2022-04-09,2022-04-12,2022-04-13
35,78,cancelled,970 Cheryl Circles,Lake William,Iraq,2025-04-15,,
36,14,delivered,9651 Travis Ports Apt. 287,Rileystad,Netherlands Antilles,2025-09-05,2025-09-06,2025-09-07
37,237,delivered,89378 Johnathan Route Apt. 506,Port Hayley,Haiti,2025-11-19,2025-11-23,2025-11-30
38,447,shipped,26631 Bethany Extensions,Herreraton,Dominica,2025-03-30,2025-04-01,
39,145,pending,5797 Knight Lock Apt. 874,Jessicaport,Bosnia and Herzegovina,2023-03-31,,
40,168,shipped,06162 Jennifer Shoals Suite 643,Wilsonport,Djibouti,2025-04-01,2025-04-04,
41,197,delivered,23870 Williams Gardens Apt. 899,Johnsonfurt,Heard Island and McDonald Islands,2025-04-24,2025-04-25,2025-04-28
42,362,delivered,7542 Reid Underpass Suite 912,Natalieside,Gambia,2023-07-19,2023-07-23,2023-07-28
43,18,delivered,514 Williams Street Apt. 285,Stephenschester,Guernsey,2023-10-13,2023-10-14,2023-10-19
44,92,delivered,0021 Kara Parks Apt. 086,Mathisview,Heard Island and McDonald Islands,2024-04-29,2024-05-01,2024-05-03
45,205,delivered,85029 Franklin Vista,New Matthewton,Japan,2025-07-25,2025-07-28,2025-07-31
46,154,delivered,867 Katelyn Ports Apt. 959,North Jonathon,Sao Tome and Principe,2025-08-26,2025-08-31,2025-09-06
47,466,confirmed,7090 Thomas Villages,South Kristinmouth,Cuba,2024-05-04,,
48,437,shipped,738 Aaron Islands Apt. 171,West Derek,Cambodia,2024-12-27,2024-12-28,
49,340,delivered,8096 Jennifer Manor,Moorefurt,Brazil,2025-11-09,2025-11-13,2025-11-19
50,332,delivered,64111 Miller Creek,West Amanda,Jamaica,2024-09-14,2024-09-17,2024-09-24
51,107,delivered,76350 Patricia Pine,Katrinastad,Marshall Islands,2025-10-02,2025-10-07,2025-10-10
52,176,delivered,0064 Carolyn Corner,Brandonshire,Slovakia (Slovak Republic),2023-12-03,2023-12-08,2023-12-10
53,112,shipped,2837 Barry Track,Evanshaven,India,2024-02-14,2024-02-16,
54,81,delivered,4705 Richard Plaza,East Michelleberg,Guyana,2025-06-20,2025-06-23,2025-06-28
55,85,shipped,23562 Austin Circle Suite 680,Grimestown,Venezuela,2024-11-29,2024-12-02,
56,102,delivered,613 Brown Fall,Adamsville,Cocos (Keeling) Islands,2025-01-27,2025-01-29,2025-01-31
57,132,delivered,24992 Jones Estate Apt. 776,Georgeport,Belarus,2025-05-24,2025-05-27,2025-05-28
58,55,delivered,0205 Dylan Garden,Leeville,Vietnam,2024-06-15,2024-06-19,2024-06-25
59,437,shipped,57460 Conley Hollow,Port Michele,Bahrain,2025-08-01,2025-08-02,
